lower_ci,upper_ci,method,n,iter
0.7621632782530813,1.4730604174544215,robust,1000,93
-2.872,2.191,trad,10,94
-3.0315642590268324,2.351058115781128,robust,10,94
-1.543,0.544,trad,100,94
-2.1576688634164793,1.1582490093459172,robust,100,94
0.722,1.134,trad,1000,94
0.5905718816044394,1.2653257678182963,robust,1000,94
-0.733,1.252,trad,10,95
-0.3421316731864757,0.8608057841124734,robust,10,95
0.624,1.652,trad,100,95
0.33984070134043554,1.936062788345474,robust,100,95
0.802,1.186,trad,1000,95
0.6700912635018461,1.3186077025692018,robust,1000,95
-2.23,2.587,trad,10,96
-1.0246072435722238,1.3810125008952463,robust,10,96
1.165,2.901,trad,100,96
0.34600539743579994,3.720202305635204,robust,100,96
1.296,1.751,trad,1000,96
1.0891779474165404,1.957609670028176,robust,1000,96
-0.752,2.569,trad,10,97
-0.7436062237361222,2.560831760590616,robust,10,97
-0.657,0.81,trad,100,97
-1.2210522769582433,1.3737309457938425,robust,100,97
0.868,1.316,trad,1000,97
0.7249714928380637,1.4598781267221712,robust,1000,97
-3.025,1.85,trad,10,98
-2.3900778816533115,1.2149092689448646,robust,10,98
0.638,1.946,trad,100,98
0.26242151059485574,2.3223949913743445,robust,100,98
0.707,1.112,trad,1000,98
0.5319340489611255,1.2873166229065405,robust,1000,98
0.268,4.408,trad,10,99
-0.03131138168653047,4.707265277624028,robust,10,99
0.122,1.805,trad,100,99
-0.33950700475703943,2.266636122171451,robust,100,99
0.907,1.301,trad,1000,99
0.7739597974564906,1.4339338102819275,robust,1000,99
-8.443,2.984,trad,10,100
-8.812700889771136,3.353962141671915,robust,10,100
0.532,1.71,trad,100,100
0.21637315590834227,2.025824942972215,robust,100,100
0.246,0.709,trad,1000,100
0.03796945181202527,0.9173585541230839,robust,1000,100
-1.83,0.62,trad,10,101
-1.4800760274225855,0.27028653153226867,robust,10,101
0.295,1.366,trad,100,101
-0.00835429644952912,1.6701902637701989,robust,100,101
0.928,1.368,trad,1000,101
0.7430799689276901,1.5529406044468466,robust,1000,101
-0.563,1.839,trad,10,102
-0.6354972257613825,1.9113197596816303,robust,10,102
1.023,2.077,trad,100,102
0.6239281580183754,2.4763677474496903,robust,100,102
0.992,1.358,trad,1000,102
0.8752360954597493,1.4744063783258892,robust,1000,102
-1.751,1.89,trad,10,103
-0.7979343843638663,0.93627094513351,robust,10,103
1.25,2.237,trad,100,103
1.1083942837782454,2.3792320135825182,robust,100,103
0.732,1.137,trad,1000,103
0.5326273636329802,1.3369750601686192,robust,1000,103
-0.364,1.851,trad,10,104
0.0640708060926859,1.4223470963770937,robust,10,104
0.622,1.796,trad,100,104
0.3337608003423991,2.0834029202302613,robust,100,104
0.344,0.823,trad,1000,104
0.0022229367604820194,1.1641081107812328,robust,1000,104
1.034,2.379,trad,10,105
1.0804446194233646,2.3322911634309804,robust,10,105
0.964,1.829,trad,100,105
0.6701394732481446,2.122347019892032,robust,100,105
0.845,1.254,trad,1000,105
0.7171158248041951,1.3816909586185242,robust,1000,105
1.616,4.587,trad,10,106
1.8775561779011494,4.325332614055739,robust,10,106
0.44,1.573,trad,100,106
0.06443307115882424,1.948562472159364,robust,100,106
0.75,1.177,trad,1000,106
0.6043145371194556,1.3226817196242318,robust,1000,106
0.305,2.245,trad,10,107
0.3454488075357459,2.2050577012656096,robust,10,107
1.495,2.639,trad,100,107
1.1284093785017915,3.005339755206049,robust,100,107
0.793,1.216,trad,1000,107
0.6146780876693686,1.394267064811074,robust,1000,107
-5.617,2.085,trad,10,108
-5.971374962468594,2.439403478167322,robust,10,108
0.46,1.174,trad,100,108
0.27811491986264414,1.3563465652682982,robust,100,108
0.846,1.221,trad,1000,108
0.6874865180163815,1.3797797308264177,robust,1000,108
0.027,1.532,trad,10,109
0.09073535981119774,1.4687021178217443,robust,10,109
1.257,2.668,trad,100,109
0.7294440293475988,3.195961601372078,robust,100,109
0.503,1.029,trad,1000,109
0.1849828406433225,1.3479322542815013,robust,1000,109
3.268,8.78,trad,10,110
3.39410661444061,8.654190576715992,robust,10,110
2.441,5.521,trad,100,110
